VIN,MODEL_YEAR,FACTORY_CODE,MODEL_NAME,DAYS_TO_FAIL_MINZERO,MILES_TO_FAIL,RO_DATE,CUST_RO_STATE_CD,CLM_SK,VIN_SK
2HGFA16528H525618,2008,HCM,CIVIC,1317,75001,1/2/2012,CA,62136773,28490671
2HGFA16528H526171,2008,HCM,CIVIC,905,33773,12/4/2010,TX,55967855,28510927
2HGFA16528H529801,2008,HCM,CIVIC,1017,42325,4/20/2011,TX,57811254,28662739
2HGFA16528H531550,2008,HCM,CIVIC,923,34082,2/1/2011,TX,56656219,28742357
2HGFA16528H533623,2008,HCM,CIVIC,754,25495,9/15/2010,TX,55019849,28837748
2HGFA16528H533945,2008,HCM,CIVIC,915,21615,2/25/2011,FL,56984007,28851958
2HGFA16528H535601,2008,HCM,CIVIC,1071,58983,8/8/2011,CA,58956287,28911772
2HGFA16529H301217,2009,HCM,CIVIC,833,22953,1/3/2011,TX,56351121,29019712
2HGFA16529H301296,2009,HCM,CIVIC,1092,33724,9/24/2011,AZ,59700846,29013470
2HGFA16529H301704,2009,HCM,CIVIC,164,8397,6/11/2009,NC,49889700,29019754
2HGFA16529H302075,2009,HCM,CIVIC,939,35748,9/30/2011,AZ,59813935,29025537
2HGFA16529H302240,2009,HCM,CIVIC,654,30602,7/16/2010,TN,54413392,29032915
2HGFA16529H303565,2009,HCM,CIVIC,778,30640,11/6/2010,VA,55680680,29046389
2HGFA16529H304344,2009,HCM,CIVIC,757,34709,10/27/2010,FL,55583866,29061646
2HGFA16529H309964,2009,HCM,CIVIC,460,11595,9/7/2010,MN,54926948,29147602
2HGFA16529H312864,2009,HCM,CIVIC,568,34043,7/21/2010,TX,54372590,29185272
2HGFA16529H315313,2009,HCM,CIVIC,693,15242,9/25/2010,FL,55137966,29224991
2HGFA16529H317014,2009,HCM,CIVIC,388,27448,1/22/2010,OK,52086758,29256196
2HGFA16529H321791,2009,HCM,CIVIC,745,35161,12/10/2010,KS,56063638,29311113
2HGFA16529H331091,2009,HCM,CIVIC,492,24606,7/1/2010,PA,54154332,29443101
2HGFA16529H331530,2009,HCM,CIVIC,833,31731,7/6/2011,FL,58439121,29445610
2HGFA16529H341636,2009,HCM,CIVIC,588,13980,11/23/2010,VA,55858189,29617282
2HGFA16529H341667,2009,HCM,CIVIC,682,59416,3/7/2011,CA,57276542,29617285
2HGFA16529H350577,2009,HCM,CIVIC,662,58702,3/17/2011,FL,57255070,29753505
2HGFA16529H352149,2009,HCM,CIVIC,653,35511,5/16/2011,CA,58090477,29804993
2HGFA16529H362129,2009,HCM,CIVIC,891,40421,12/14/2011,FL,61773110,30070208
2HGFA16529H368061,2009,HCM,CIVIC,347,5489,8/11/2010,PA,54598270,30249123
2HGFA16529H369727,2009,HCM,CIVIC,715,38624,10/5/2011,TX,60085840,30276894
2HGFA16529H521621,2009,HCM,CIVIC,520,26589,10/18/2010,FL,55361564,29918625
2HGFA16529H522672,2009,HCM,CIVIC,512,26550,11/9/2010,NC,55673405,29930396
2HGFA16529H529654,2009,HCM,CIVIC,730,30352,11/2/2011,SC,60915995,30027226
2HGFA16529H532120,2009,HCM,CIVIC,850,33693,11/3/2011,FL,60948476,30078752
2HGFA16529H532537,2009,HCM,CIVIC,271,18079,4/28/2010,TX,53024514,30088891
2HGFA16529H536541,2009,HCM,CIVIC,690,27751,10/7/2011,TN,60033067,30154617
2HGFA16529H539164,2009,HCM,CIVIC,755,23125,9/24/2011,FL,59659580,30205869
2HGFA16529H546731,2009,HCM,CIVIC,455,16898,1/3/2011,PA,56367472,30280129
2HGFA16538H303654,2008,HCM,CIVIC,1437,59055,11/11/2011,TN,61041328,27142486
2HGFA16538H313178,2008,HCM,CIVIC,1065,45572,12/22/2010,CA,56184192,27751948
2HGFA16538H317795,2008,HCM,CIVIC,1091,19720,2/22/2011,AR,57012173,27893847
2HGFA16538H318980,2008,HCM,CIVIC,293,23069,1/14/2009,FL,48441890,27929170
2HGFA16538H330059,2008,HCM,CIVIC,529,20630,11/30/2009,CA,51602574,28349534
2HGFA16538H330160,2008,HCM,CIVIC,1007,35000,2/28/2011,AR,57100338,28349478
2HGFA16538H330207,2008,HCM,CIVIC,975,36665,1/19/2011,AL,56535007,28349491
2HGFA16538H330272,2008,HCM,CIVIC,219,7436,12/29/2008,TX,48367610,28349497
2HGFA16538H330627,2008,HCM,CIVIC,965,43920,12/21/2010,MD,56203496,28362792
2HGFA16538H330899,2008,HCM,CIVIC,523,30530,10/31/2009,TX,51317067,28367468
2HGFA16538H334581,2008,HCM,CIVIC,479,27069,9/24/2009,TX,50931553,28441988
2HGFA16538H334838,2008,HCM,CIVIC,502,31408,10/7/2009,FL,51066573,28465886
2HGFA16538H337268,2008,HCM,CIVIC,248,14636,2/9/2009,CA,48754442,28519806
2HGFA16538H339599,2008,HCM,CIVIC,670,29596,4/22/2010,TX,52947387,28585431
2HGFA16538H339859,2008,HCM,CIVIC,879,24499,11/10/2010,NV,55711649,28585430
2HGFA16538H339876,2008,HCM,CIVIC,781,26679,8/11/2010,CA,54676999,28585442
2HGFA16538H340011,2008,HCM,CIVIC,735,25854,7/5/2010,FL,54101571,28594841
2HGFA16538H344544,2008,HCM,CIVIC,876,34325,12/4/2010,NY,55982388,28709615
2HGFA16538H346567,2008,HCM,CIVIC,804,35500,10/11/2010,FL,55285006,28768580
2HGFA16538H350442,2008,HCM,CIVIC,1175,65769,11/9/2011,TX,60970440,28851973
2HGFA16538H351798,2008,HCM,CIVIC,535,10709,2/5/2010,AZ,52217212,28899815
